,ºÐ·ù,¸íÄª,À§µµ,°æµµ
199,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÃæÇöÁ¡B,37.5028301,127.0382197
200,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï15È£Á¡,37.4903984,127.0330439
201,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÀº¼®Á¡,37.4986435,127.0414976
202,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¼±¸ª·ÎÁ¡,37.5086439,127.0416797
203,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì¿ª»ï¸ÞÆ®·ÎÁ¡,37.4999269,127.0365526
204,ÆíÀÇÁ¡,CU ¿ª»ïÈ²Á¦Æë±ÏÁ¡,37.5062011,127.0362514
205,ÆíÀÇÁ¡,CU ¿ª»ï¿¡½º¾ÆÀÌºôµùÁ¡,37.5015994,127.0377433
206,ÆíÀÇÁ¡,CU ¿ª»ïÀ¯ÅäºôÁ¡,37.498788,127.0334124
207,ÆíÀÇÁ¡,GS25S°­³²¿ª1È£Á¡,37.4977735,127.028536
208,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¿ªÁ¡,37.5018927,127.0360738
209,ÆíÀÇÁ¡,ÀÌ¸¶Æ®24 ¿ª»ïÁß¾ÓÁ¡,37.4976447,127.0324914
